iter	Passed	Remaining
354	102442	2206110
355	102708	2205348
356	102974	2204587
357	103242	2203855
358	103521	2203372
359	103802	2202920
360	104098	2202791
361	104374	2202240
362	104651	2201721
363	104957	2201799
364	105241	2201418
365	105529	2201136
366	105800	2200468
367	106068	2199767
368	106359	2199541
369	106619	2198662
370	106870	2197616
371	107163	2197423
372	107441	2196930
373	107729	2196654
374	108001	2196033
375	108279	2195538
376	108622	2196363
377	108889	2195643
378	109165	2195110
379	109487	2195508
380	109766	2195032
381	110059	2194849
382	110339	2194411
383	110620	2193975
384	110906	2193653
385	111192	2193316
386	111517	2193747
387	111769	2192758
388	112061	2192544
389	112333	2191949
390	112614	2191513
391	112886	2190926
392	113181	2190776
393	113463	2190368
394	113741	2189888
395	114022	2189453
396	114346	2189871
397	114610	2189109
398	114859	2188081
399	115145	2187764
400	115433	2187475
401	115723	2187229
402	115980	2186353
403	116263	2185982
404	116543	2185546
405	116828	2185218
406	117130	2185190
407	117392	2184419
408	117659	2183745
409	117924	2183034
410	118188	2182318
411	118477	2182054
412	118757	2181631
413	119088	2182139
414	119376	2181856
415	119647	2181264
416	119945	2181170
417	120240	2181005
418	120478	2179820
419	120772	2179647
420	121038	2178973
421	121387	2179791
422	121691	2179808
423	121931	2178664
424	122231	2178598
425	122540	2178687
426	122845	2178715
427	123147	2178673
428	123424	2178198
429	123703	2177764
430	123972	2177135
431	124220	2176156
432	124501	2175760
433	124758	2174940
434	125027	2174329
435	125284	2173516
436	125546	2172792
437	125778	2171540
438	126050	2170990
439	126325	2170509
440	126624	2170424
441	126897	2169892
442	127170	2169357
443	127454	2169031
444	127732	2168573
445	128006	2168066
446	128264	2167303
447	128560	2167161
448	128853	2166984
449	129129	2166506
450	129409	2166103
451	129697	2165831
452	130013	2166028
453	130297	2165689
454	130576	2165275
455	130865	2165027
456	131138	2164501
457	131417	2164083
458	131693	2163624
459	131969	2163153
460	132251	2162784
461	132514	2162115
462	132800	2161808
463	133110	2161901
464	133468	2162770
465	133779	2162867
466	134067	2162589
467	134366	2162488
468	134659	2162296
469	134935	2161846
470	135228	2161646
471	135509	2161259
472	135786	2160806
473	136073	2160520
474	136341	2159943
475	136604	2159276
476	136877	2158758
477	137163	2158459
478	137439	2158002
479	137713	2157512
480	137997	2157185
481	138269	2156655
482	138545	2156210
483	138821	2155741
484	139089	2155162
485	139360	2154645
486	139637	2154207
487	139934	2154067
488	140216	2153707
489	140480	2153072
490	140753	2152589
491	141054	2152512
492	141335	2152148
493	141596	2151469
494	141864	2150892
495	142161	2150759
496	142446	2150458
497	142722	2150002
498	142997	2149548
499	143265	2148980
500	143619	2149700
501	143911	2149505
502	144207	2149351
503	144500	2149160
504	144778	2148736
505	145051	2148259
506	145324	2147763
507	145608	2147436
508	145904	2147294
509	146179	2146831
510	146440	2146171
511	146737	2146033
512	146998	2145380
513	147305	2145390
514	147584	2144984
515	147928	2145532
516	148219	2145315
517	148496	2144879
518	148804	2144904
519	149087	2144559
520	149371	2144234
521	149640	2143699
522	149890	2142895
523	150164	2142428
524	150429	2141835
525	150733	2141796
526	151007	2141329
527	151300	2141128
528	151580	2140753
529	151843	2140133
530	152147	2140092
531	152426	2139701
532	152725	2139590
533	153005	2139211
534	153291	2138911
535	153557	2138345
536	153836	2137949
537	154099	2137348
538	154384	2137033
539	154655	2136541
540	154922	2135988
541	155243	2136172
542	155532	2135918
543	155823	2135694
544	156089	2135127
545	156389	2135029
546	156685	2134881
547	156949	2134284
548	157211	2133666
549	157486	2133224
550	157763	2132811
551	158038	2132374
552	158299	2131750
553	158583	2131435
554	158847	2130844
555	159159	2130901
556	159435	2130478
557	159704	2129968
558	159970	2129416
559	160219	2128627
560	160501	2128290
561	160793	2128084
562	161068	2127644
563	161348	2127279
564	161637	2127030
565	161920	2126703
566	162201	2126350
567	162487	2126064
568	162752	2125507
569	163023	2125028
570	163294	2124545
571	163596	2124472
572	163883	2124194
573	164182	2124080
574	164459	2123675
575	164736	2123274
576	165009	2122815
577	165261	2122093
578	165542	2121743
579	165797	2121068
580	166076	2120687
581	166336	2120078
582	166599	2119501
583	166853	2118814
584	167123	2118321
585	167399	2117919
586	167693	2117733
587	167956	2117164
588	168229	2116715
589	168467	2115839
590	168738	2115365
591	168997	2114748
592	169261	2114193
593	169554	2114013
594	169840	2113731
595	170092	2113029
596	170363	2112568
597	170630	2112050
598	170901	2111590
599	171160	2110977
600	171452	2110771
601	171748	2110627
602	172036	2110367
603	172316	2110017
604	172589	2109587
605	172880	2109366
606	173146	2108850
607	173434	2108603
608	173701	2108090
609	173975	2107671
610	174269	2107493
611	174537	2107000
612	174804	2106493
613	175076	2106047
614	175357	2105710
615	175626	2105233
616	175899	2104803
617	176156	2104186
618	176416	2103604
619	176681	2103085
620	176967	2102807
621	177254	2102541
622	177542	2102297
623	177811	2101820
624	178099	2101574
625	178385	2101298
626	178650	2100781
627	178963	2100823
628	179224	2100258
629	179509	2099973
630	179773	2099450
631	180045	2099014
632	180316	2098565
633	180591	2098169
634	180858	2097674
635	181173	2097734
636	181455	2097418
637	181727	2096986
638	182011	2096693
639	182287	2096302
640	182552	2095790
641	182832	2095450
642	183124	2095251
643	183451	2095453
644	183719	2094967
645	183999	2094636
646	184275	2094244
647	184547	2093814
648	184851	2093748
649	185124	2093329
650	185395	2092891
651	185647	2092239
652	185929	2091916
653	186209	2091585
654	186480	2091138
655	186766	2090874
656	187062	2090716
657	187408	2091117
658	187677	2090653
659	187955	2090289
660	188217	2089750
661	188529	2089776
662	188837	2089740
663	189115	2089386
664	189385	2088940
665	189652	2088451
666	189926	2088054
667	190253	2088226
668	190522	2087773
669	190786	2087264
670	191089	2087173
671	191378	2086940
672	191674	2086775
673	191957	2086469
674	192231	2086071
675	192534	2085983
676	192797	2085454
677	193071	2085057
678	193338	2084585
679	193597	2084016
680	193844	2083326
681	194125	2083001
682	194394	2082553
683	194664	2082117
684	194976	2082123
685	195249	2081717
686	195523	2081315
687	195792	2080862
688	196074	2080547
689	196359	2080273
690	196633	2079877
691	196927	2079695
692	197215	2079439
693	197479	2078944
694	197731	2078312
695	198016	2078034
696	198313	2077882
697	198600	2077622
698	198892	2077412
699	199174	2077107
700	199461	2076845
701	199744	2076551
702	200028	2076257
703	200303	2075868
704	200580	2075514
705	200843	2074998
706	201117	2074615
707	201403	2074343
708	201692	2074107
709	201961	2073658
710	202246	2073384
711	202535	2073139
712	202819	2072858
713	203108	2072619
714	203394	2072347
715	203647	2071740
716	203912	2071257
717	204183	2070839
718	204454	2070417
719	204725	2069998
720	205009	2069713
721	205276	2069258
722	205572	2069093
723	205852	2068758
724	206124	2068349
725	206418	2068160
726	206690	2067759
727	206940	2067127
728	207236	2066960
729	207507	2066545
730	207772	2066071
731	208037	2065596
732	208276	2064862
733	208546	2064439
734	208814	2063996
735	209100	2063731
736	209379	2063392
737	209663	2063106
738	209932	2062677
739	210175	2061989
740	210466	2061774
741	210736	2061358
742	211031	2061180
743	211332	2061055
744	211612	2060740
745	211897	2060464
746	212172	2060092
747	212439	2059636
748	212713	2059262
749	212984	2058849
750	213258	2058466
751	213525	2058024
752	213827	2057912
753	214126	2057771
754	214410	2057489
755	214680	2057072
756	214967	2056813
757	215238	2056408
758	215507	2055986
759	215839	2056159
760	216135	2055985
761	216418	2055688
762	216694	2055330
763	216991	2055174
764	217286	2054993
765	217565	2054657
766	217833	2054224
767	218107	2053850
768	218390	2053556
769	218680	2053325
770	218944	2052856
771	219222	2052510
772	219511	2052275
773	219785	2051894
774	220064	2051572
775	220345	2051253
776	220620	2050892
777	220929	2050840
778	221203	2050466
779	221508	2050375
780	221797	2050137
781	222078	2049821
782	222374	2049655
783	222655	2049337
784	222950	2049160
785	223225	2048789
786	223503	2048446
787	223793	2048218
788	224050	2047690
789	224323	2047306
790	224605	2047001
791	224889	2046722
792	225188	2046571
793	225478	2046344
794	225774	2046171
795	226057	2045876
796	226337	2045557
797	226612	2045188
798	226866	2044641
799	227151	2044362
800	227435	2044084
801	227712	2043738
802	227977	2043280
803	228239	2042804
804	228521	2042497
805	228793	2042108
806	229066	2041726
807	229358	2041518
808	229650	2041307
809	229942	2041092
810	230197	2040556
811	230506	2040494
812	230764	2039984
813	231055	2039763
814	231325	2039356
815	231609	2039069
816	231885	2038716
817	232153	2038294
818	232451	2038139
819	232731	2037818
820	232983	2037254
821	233269	2036989
822	233553	2036713
823	233833	2036397
824	234116	2036100
825	234404	2035854
826	234678	2035489
827	234951	2035107
828	235220	2034699
829	235500	2034387
830	235776	2034036
831	236059	2033741
832	236324	2033302
833	236629	2033194
834	236935	2033105
835	237224	2032865
836	237509	2032592
837	237815	2032499
838	238114	2032345
839	238401	2032086
840	238694	2031887
841	239007	2031846
842	239296	2031606
843	239584	2031361
844	239873	2031116
845	240188	2031095
846	240474	2030829
847	240751	2030492
848	241033	2030189
849	241360	2030264
850	241643	2029979
851	241912	2029567
852	242186	2029202
853	242512	2029268
854	242791	2028942
855	243067	2028588
856	243335	2028171
857	243635	2028024
858	243898	2027568
859	244189	2027337
860	244461	2026958
861	244722	2026481
862	244978	2025969
863	245255	2025628
864	245539	2025347
865	245805	2024916
866	246089	2024634
867	246390	2024487
868	246678	2024237
869	246947	2023837
870	247239	2023613
871	247526	2023360
872	247819	2023151
873	248093	2022786
874	248353	2022306
875	248640	2022052
876	248927	2021793
877	249224	2021610
878	249484	2021133
879	249761	2020793
880	250025	2020352
881	250298	2019986
882	250574	2019638
883	250852	2019302
884	251123	2018916
885	251381	2018425
886	251665	2018149
887	251953	2017899
888	252235	2017600
889	252513	2017271
890	252791	2016937
891	253089	2016773
892	253394	2016655
893	253679	2016383
894	253930	2015842
895	254212	2015539
896	254497	2015269
897	254759	2014811
898	255043	2014528
899	255316	2014161
900	255596	2013848
901	255866	2013459
902	256159	2013249
903	256430	2012863
904	256703	2012502
905	256995	2012276
906	257264	2011880
907	257566	2011744
908	257846	2011432
909	258134	2011182
910	258396	2010724
911	258667	2010347
912	258946	2010023
913	259228	2009729
914	259507	2009407
915	259811	2009286
916	260093	2008985
917	260373	2008678
918	260634	2008215
919	260910	2007879
920	261199	2007631
921	261457	2007151
922	261710	2006632
923	261979	2006240
924	262261	2005946
925	262549	2005697
926	262809	2005232
927	263100	2005007
928	263393	2004796
929	263737	2004975
930	264033	2004784
931	264307	2004426
932	264631	2004448
933	264928	2004269
934	265217	2004025
935	265497	2003714
936	265780	2003425
937	266062	2003129
938	266372	2003044
939	266654	2002747
940	266926	2002377
941	267184	2001896
942	267482	2001722
943	267760	2001394
944	268034	2001041
945	268306	2000671
946	268578	2000303
947	268849	1999920
948	269133	1999640
949	269421	1999388
950	269705	1999108
951	269993	1998861
952	270237	1998282
953	270509	1997915
954	270778	1997520
955	271068	1997290
956	271357	1997041
957	271647	1996805
958	271927	1996494
959	272216	1996251
960	272497	1995948
961	272762	1995531
962	273033	1995156
963	273319	1994889
964	273576	1994417
965	273871	1994215
966	274142	1993844
967	274441	1993670
968	274714	1993307
969	275002	1993060
970	275288	1992795
971	275563	1992446
972	275878	1992394
973	276160	1992097
974	276425	1991681
975	276701	1991345
976	276953	1990833
977	277204	1990315
978	277448	1989752
979	277709	1989308
980	278066	1989550
981	278332	1989139
982	278610	1988819
983	278899	1988574
984	279166	1988172
985	279424	1987713
986	279691	1987313
987	279951	1986862
988	280231	1986555
989	280522	1986327
990	280785	1985897
991	281060	1985557
992	281329	1985173
993	281605	1984834
994	281919	1984769
995	282193	1984417
996	282483	1984183
997	282732	1983663
998	283046	1983589
999	283332	1983324
1000	283609	1982999
1001	283883	1982653
1002	284169	1982385
1003	284442	1982032
1004	284719	1981703
1005	284970	1981195
1006	285213	1980635
1007	285494	1980337
1008	285789	1980130
1009	286103	1980066
1010	286381	1979741
1011	286663	1979452
1012	286941	1979129
1013	287211	1978757
1014	287482	1978392
1015	287780	1978210
1016	288082	1978050
1017	288371	1977809
1018	288666	1977608
1019	288939	1977253
1020	289190	1976746
1021	289442	1976253
1022	289713	1975884
1023	289974	1975450
1024	290241	1975060
1025	290530	1974817
1026	290826	1974619
1027	291109	1974332
1028	291377	1973950
1029	291662	1973674
1030	291949	1973422
1031	292217	1973035
1032	292484	1972644
1033	292761	1972314
1034	293049	1972070
1035	293328	1971755
1036	293605	1971432
1037	293874	1971056
1038	294155	1970758
1039	294436	1970458
1040	294721	1970187
1041	295000	1969880
1042	295272	1969519
1043	295551	1969213
1044	295843	1968989
1045	296136	1968766
1046	296385	1968260
1047	296677	1968038
1048	296983	1967903
1049	297266	1967618
1050	297537	1967259
1051	297809	1966901
1052	298094	1966632
1053	298382	1966380
1054	298659	1966054
1055	298918	1965614
1056	299191	1965268
1057	299465	1964924
1058	299745	1964621
1059	300052	1964495
1060	300338	1964229
1061	300607	1963858
1062	300908	1963690
1063	301186	1963373
1064	301462	1963043
1065	301756	1962833
1066	302043	1962572
1067	302311	1962194
1068	302595	1961917
1069	302879	1961637
1070	303174	1961431
1071	303441	1961047
1072	303720	1960735
1073	304010	1960501
1074	304286	1960171
1075	304568	1959878
1076	304829	1959458
1077	305095	1959062
1078	305360	1958662
1079	305624	1958262
1080	305910	1957994
1081	306182	1957642
1082	306456	1957303
1083	306746	1957066
1084	307017	1956702
1085	307283	1956312
1086	307563	1956014
1087	307852	1955769
1088	308124	1955413
1089	308401	1955093
1090	308689	1954843
1091	308971	1954556
1092	309244	1954212
1093	309497	1953738
1094	309773	1953412
1095	310073	1953236
1096	310385	1953136
1097	310672	1952882
1098	310966	1952667
1099	311242	1952337
1100	311519	1952019
1101	311822	1951859
1102	312101	1951554
1103	312384	1951272
1104	312665	1950975
1105	312983	1950913
1106	313245	1950496
1107	313526	1950203
1108	313795	1949831
1109	314074	1949528
1110	314369	1949315
1111	314635	1948929
1112	314931	1948729
1113	315216	1948458
1114	315479	1948051
1115	315759	1947750
1116	316054	1947540
1117	316335	1947245
1118	316605	1946884
1119	316862	1946441
1120	317147	1946168
1121	317414	1945789
1122	317682	1945416
1123	317935	1944949
1124	318200	1944556
1125	318486	1944294
1126	318753	1943913
1127	319040	1943655
1128	319349	1943535
1129	319629	1943233
1130	319898	1942868
1131	320163	1942474
1132	320436	1942131
1133	320685	1941644
1134	320945	1941227
1135	321224	1940921
1136	321474	1940441
1137	321737	1940039
1138	322045	1939909
1139	322306	1939496
1140	322628	1939447
1141	322902	1939112
1142	323220	1939037
1143	323519	1938852
1144	323798	1938550
1145	324086	1938295
1146	324373	1938040
1147	324646	1937695
1148	324909	1937299
1149	325200	1937066
1150	325475	1936736
1151	325757	1936444
1152	326050	1936226
1153	326337	1935969
1154	326602	1935577
1155	326888	1935315
1156	327161	1934972
1157	327409	1934485
1158	327694	1934219
1159	327978	1933944
1160	328262	1933665
1161	328529	1933293
1162	328804	1932965
1163	329090	1932702
1164	329391	1932527
1165	329662	1932175
1166	329939	1931856
1167	330217	1931543
1168	330489	1931199
1169	330769	1930901
1170	331044	1930571
1171	331315	1930222
1172	331572	1929793
1173	331845	1929454
1174	332131	1929189
1175	332404	1928847
1176	332661	1928422
1177	332935	1928087
1178	333221	1927824
1179	333512	1927591
1180	333798	1927327
1181	334086	1927073
1182	334343	1926644
1183	334623	1926347
1184	334885	1925944
1185	335163	1925635
1186	335404	1925116
1187	335675	1924766
1188	335980	1924614
1189	336264	1924334
1190	336555	1924101
1191	336836	1923810
1192	337103	1923442
1193	337373	1923086
1194	337647	1922754
1195	337915	1922388
1196	338237	1922333
1197	338515	1922024
1198	338776	1921615
1199	339055	1921314
1200	339321	1920941
1201	339600	1920636
1202	339871	1920286
1203	340151	1919990
1204	340417	1919617
1205	340710	1919394
1206	341004	1919173
1207	341283	1918874
1208	341570	1918613
1209	341845	1918291
1210	342119	1917959
1211	342404	1917689
1212	342682	1917380
1213	342998	1917286
1214	343269	1916939
1215	343579	1916810
1216	343857	1916503
1217	344148	1916266
1218	344420	1915928
1219	344699	1915622
1220	344981	1915339
1221	345261	1915044
1222	345515	1914603
1223	345804	1914358
1224	346095	1914120
1225	346376	1913828
1226	346647	1913482
1227	346922	1913159
1228	347185	1912770
1229	347447	1912374
1230	347723	1912055
1231	347987	1911674
1232	348265	1911365
1233	348550	1911095
1234	348843	1910870
1235	349120	1910560
1236	349424	1910394
1237	349712	1910141
1238	350022	1910011
1239	350312	1909768
1240	350600	1909515
1241	350907	1909368
1242	351185	1909056
1243	351447	1908665
1244	351720	1908330
1245	351997	1908020
1246	352276	1907718
1247	352563	1907459
1248	352822	1907051
1249	353097	1906725
1250	353371	1906396
1251	353664	1906171
1252	353963	1905978
1253	354249	1905714
1254	354531	1905428
1255	354781	1904975
1256	355074	1904745
1257	355334	1904344
1258	355620	1904083
1259	355898	1903776
1260	356205	1903623
1261	356474	1903267
1262	356727	1902829
1263	357021	1902609
1264	357289	1902247
1265	357563	1901923
1266	357843	1901624
1267	358129	1901362
1268	358394	1900987
1269	358667	1900652
1270	358936	1900300
1271	359219	1900022
1272	359493	1899695
1273	359772	1899394
1274	360052	1899098
1275	360306	1898668
1276	360600	1898447
1277	360911	1898314
1278	361206	1898097
1279	361473	1897736
1280	361725	1897293
1281	362024	1897099
1282	362287	1896712
1283	362567	1896420
1284	362844	1896111
1285	363130	1895845
1286	363403	1895517
1287	363664	1895122
1288	363951	1894864
1289	364195	1894380
1290	364452	1893967
1291	364726	1893641
1292	364997	1893298
1293	365308	1893166
1294	365584	1892851
1295	365851	1892491
1296	366145	1892269
1297	366426	1891981
1298	366691	1891609
1299	366967	1891292
1300	367234	1890932
1301	367508	1890606
1302	367794	1890346
1303	368098	1890171
1304	368353	1889752
1305	368628	1889432
1306	368914	1889171
1307	369199	1888899
1308	369480	1888611
1309	369753	1888285
1310	370040	1888023
1311	370294	1887599
1312	370568	1887275
1313	370838	1886931
1314	371100	1886546
1315	371384	1886271
1316	371679	1886055
1317	371958	1885753
1318	372239	1885469
1319	372550	1885332
1320	372844	1885106
1321	373121	1884800
1322	373404	1884522
1323	373682	1884218
1324	373964	1883932
1325	374247	1883654
1326	374519	1883322
1327	374795	1883010
1328	375120	1882940
1329	375395	1882620
1330	375664	1882276
1331	375934	1881932
1332	376215	1881643
1333	376490	1881321
1334	376758	1880968
1335	377036	1880665
1336	377312	1880355
1337	377596	1880079
1338	377911	1879960
1339	378193	1879679
1340	378491	1879474
1341	378785	1879247
1342	379069	1878974
1343	379357	1878720
1344	379638	1878432
1345	379941	1878256
1346	380275	1878228
1347	380567	1877995
1348	380848	1877703
1349	381144	1877488
1350	381435	1877249
1351	381725	1877003
1352	382016	1876763
1353	382297	1876478
1354	382580	1876197
1355	382866	1875935
1356	383142	1875618
1357	383428	1875354
1358	383732	1875176
1359	384033	1874987
1360	384309	1874674
1361	384582	1874347
1362	384868	1874078
1363	385139	1873744
1364	385414	1873423
1365	385688	1873101
1366	385967	1872802
1367	386251	1872527
1368	386523	1872196
1369	386827	1872019
1370	387081	1871601
1371	387377	1871382
1372	387650	1871056
1373	387932	1870773
1374	388208	1870460
1375	388508	1870263
1376	388812	1870082
1377	389096	1869810
1378	389364	1869457
1379	389650	1869190
1380	389939	1868941
1381	390230	1868703
1382	390492	1868323
1383	390766	1868000
1384	391043	1867689
1385	391310	1867335
1386	391582	1867002
1387	391875	1866772
1388	392145	1866430
1389	392433	1866176
1390	392725	1865940
1391	393002	1865633
1392	393292	1865384
1393	393582	1865139
1394	393907	1865059
1395	394187	1864764
1396	394485	1864559
1397	394757	1864226
1398	395076	1864117
1399	395384	1863955
1400	395657	1863626
1401	395942	1863356
1402	396223	1863069
1403	396499	1862758
1404	396779	1862460
1405	397075	1862245
1406	397356	1861954
1407	397614	1861556
1408	397883	1861214
1409	398131	1860770
1410	398413	1860486
1411	398676	1860115
1412	398951	1859797
1413	399226	1859481
1414	399484	1859084
1415	399764	1858790
1416	400031	1858436
1417	400313	1858155
1418	400613	1857956
1419	400914	1857759
1420	401197	1857477
1421	401431	1856973
1422	401708	1856665
1423	401982	1856348
1424	402277	1856120
1425	402553	1855812
1426	402840	1855550
1427	403136	1855329
1428	403444	1855169
1429	403714	1854827
1430	403986	1854499
1431	404281	1854273
1432	404514	1853764
1433	404761	1853323
1434	405029	1852972
1435	405303	1852652
1436	405572	1852309
1437	405857	1852043
1438	406134	1851738
1439	406417	1851456
1440	406708	1851217
1441	406972	1850849
1442	407258	1850584
1443	407533	1850269
1444	407802	1849926
1445	408083	1849639
1446	408363	1849348
1447	408640	1849042
1448	408927	1848780
1449	409185	1848390
1450	409480	1848164
1451	409793	1848020
1452	410069	1847713
1453	410341	1847383
1454	410619	1847082
1455	410891	1846752
1456	411170	1846458
1457	411433	1846088
1458	411747	1845947
1459	412031	1845676
1460	412304	1845354
1461	412591	1845090
1462	412858	1844743
1463	413133	1844424
1464	413397	1844065
1465	413645	1843627
1466	413917	1843301
1467	414197	1843010
1468	414447	1842586
1469	414727	1842292
1470	415007	1842000
1471	415283	1841692
1472	415578	1841466
1473	415901	1841367
1474	416172	1841034
1475	416427	1840633
1476	416690	1840266
1477	416955	1839909
1478	417249	1839675
1479	417523	1839359
1480	417830	1839188
1481	418096	1838833
1482	418366	1838499
1483	418657	1838256
1484	418933	1837948
1485	419203	1837613
1486	419485	1837327
1487	419755	1836995
1488	420039	1836720
1489	420308	1836381
1490	420593	1836110
1491	420869	1835804
1492	421163	1835571
1493	421431	1835227
1494	421700	1834889
1495	421996	1834669
